id,latitude,longitude,general,recycle_plastic,recycle_paper,dog
1,51.5152282,-0.0305987,1,0,0,0
2,51.5178852,-0.0302401,1,0,0,0
3,51.5191056,-0.0310815,1,0,0,0
4,51.5193398,-0.0314837,1,0,0,0
5,51.5197094,-0.0316534,1,0,0,0
6,51.5199379,-0.0322895,1,0,0,0
7,51.5199629,-0.0336638,1,0,0,0
8,51.5218725,-0.0343086,1,0,0,0
9,51.5220407,-0.0355859,1,0,0,0
10,51.5229248,-0.0360675,1,0,0,0
11,51.5243834,-0.0360285,1,0,0,0
12,51.5243214,-0.0358029,1,0,0,0
13,51.5242937,-0.0356885,1,0,0,0
14,51.5241172,-0.035385,1,0,0,0
15,51.5238914,-0.0355373,1,0,0,0
16,51.5235004,-0.0357529,1,0,0,0
17,51.5241877,-0.0347428,1,0,0,0
18,51.5231581,-0.0346651,1,0,0,0
19,51.5190778,-0.0355206,1,0,0,0
20,51.51882,-0.0351624,1,0,0,0
21,51.5210247,-0.0339292,0,0,0,1
22,51.5242494,-0.0347525,0,0,0,1
23,51.5232803,-0.0346953,0,0,0,1
24,51.5210434,-0.0350511,0,0,0,1
25,51.5212361,-0.0356666,0,0,0,1
26,51.5187231,-0.0352244,0,0,0,1
27,51.5178366,-0.0339621,0,0,0,1
28,51.5168573,-0.0334817,0,0,0,1
29,51.5161896,-0.0295016,0,0,0,1